image_id,model,language,Ethnic_Group,Rating_1to5,Accuracy_1to5,Completeness_1to5,Cultural_Depth_1to5,origin,ethnic_group,char_len,token_count,ttr,general_ctc,general_terms_matched,correct_ethnic_ctc,correct_ethnic_terms_matched,correct_ethnic_terms_total,confusion_terms_matched,confusion_term_rate,matched_ethnic_terms
Tibetan_0285,gpt-4o-mini,en,Tibetan,5,5,5,4,western,Tibetan,2924,418,0.5454545454545454,0.19101123595505617,17,0.125,1,8,0,0.0,coral
Miao_0566,llama-3.2-vision-11b,en,Miao,4,4,5,3,western,Miao,2247,358,0.4273743016759777,0.12359550561797752,11,0.0,0,3,0,0.0,
Yi_0193,gpt-4o-mini,en,Yi,4,4,5,4,western,Yi,3094,458,0.5152838427947598,0.16853932584269662,15,0.0,0,4,0,0.0,
Li_0133,gpt-4o-mini,zh,Li,4,4,5,3,western,Li,695,594,0.41414141414141414,0.15625,15,0.0,0,4,0,0.0,
Li_0454,claude-haiku-4.5,en,Li,3,2,5,3,western,Li,2473,307,0.6579804560260586,0.1348314606741573,12,0.0,0,4,0,0.0,
Li_0235,qwen2-vl-7b,en,Li,4,4,5,4,chinese,Li,2568,383,0.47780678851174935,0.19101123595505617,17,0.0,0,4,0,0.0,
Dong_0166,llama-3.2-vision-11b,zh,Dong,1,1,1,1,western,Dong,3651,3420,0.015789473684210527,0.08333333333333333,8,0.0,0,4,0,0.0,
Yi_0549,qwen2.5-vl-7b,zh,Yi,4,4,5,3,chinese,Yi,863,754,0.3779840848806366,0.15625,15,0.0,0,4,0,0.0,
Tibetan_0454,claude-haiku-4.5,en,Tibetan,5,5,5,4,western,Tibetan,2427,299,0.6287625418060201,0.12359550561797752,11,0.0,0,8,0,0.0,
Li_0156,claude-haiku-4.5,en,Li,2,2,5,3,western,Li,2432,304,0.6381578947368421,0.1348314606741573,12,0.0,0,4,0,0.0,
Tibetan_0571,claude-haiku-4.5,en,Tibetan,3,2,5,3,western,Tibetan,2838,350,0.6,0.14606741573033707,13,0.0,0,8,0,0.0,
Yi_0210,qwen2.5-vl-7b,en,Yi,4,4,5,4,chinese,Yi,3844,590,0.48983050847457626,0.16853932584269662,15,0.0,0,4,0,0.0,
Miao_0219,qwen2-vl-7b,zh,Miao,4,4,5,3,chinese,Miao,732,631,0.33438985736925514,0.15625,15,0.0,0,4,0,0.0,
Dong_0588,qwen2.5-vl-7b,en,Dong,4,4,5,4,chinese,Dong,3273,482,0.529045643153527,0.14606741573033707,13,0.0,0,4,0,0.0,
