image_id,model,origin,language,ethnic_group,char_len,token_count,ttr,general_ctc,general_terms_matched,correct_ethnic_ctc,correct_ethnic_terms_matched,correct_ethnic_terms_total,confusion_terms_matched,confusion_term_rate,matched_ethnic_terms
Miao_0375,qwen2-vl-7b,chinese,zh,Miao,571,516,0.32945736434108525,0.13541666666666666,13,0.0,0,4,0,0.0,
Li_0562,qwen2-vl-7b,chinese,zh,Li,394,353,0.45892351274787535,0.17708333333333334,17,0.0,0,4,0,0.0,
Tibetan_0557,qwen2-vl-7b,chinese,zh,Tibetan,593,508,0.37401574803149606,0.125,12,0.0,0,8,0,0.0,
Yi_0061,qwen2-vl-7b,chinese,zh,Yi,643,556,0.35431654676258995,0.16666666666666666,16,0.0,0,4,0,0.0,
Li_0193,qwen2-vl-7b,chinese,zh,Li,503,449,0.45434298440979953,0.16666666666666666,16,0.0,0,4,0,0.0,
Tibetan_0011,qwen2-vl-7b,chinese,zh,Tibetan,816,704,0.3693181818181818,0.19791666666666666,19,0.0,0,8,0,0.0,
Yi_0287,qwen2-vl-7b,chinese,zh,Yi,382,347,0.5129682997118156,0.15625,15,0.0,0,4,0,0.0,
Tibetan_0087,qwen2-vl-7b,chinese,zh,Tibetan,687,593,0.3372681281618887,0.13541666666666666,13,0.0,0,8,0,0.0,
Miao_0571,qwen2-vl-7b,chinese,zh,Miao,614,531,0.3483992467043315,0.17708333333333334,17,0.0,0,4,0,0.0,
Dong_0592,qwen2-vl-7b,chinese,zh,Dong,667,566,0.36042402826855124,0.20833333333333334,20,0.0,0,4,0,0.0,
Tibetan_0537,qwen2-vl-7b,chinese,zh,Tibetan,739,643,0.3405909797822706,0.14583333333333334,14,0.0,0,8,0,0.0,
Dong_0246,qwen2-vl-7b,chinese,zh,Dong,554,498,0.3855421686746988,0.17708333333333334,17,0.0,0,4,0,0.0,
Yi_0210,qwen2-vl-7b,chinese,zh,Yi,745,644,0.34006211180124224,0.17708333333333334,17,0.0,0,4,0,0.0,
Li_0430,qwen2-vl-7b,chinese,zh,Li,486,441,0.43537414965986393,0.14583333333333334,14,0.0,0,4,0,0.0,
Yi_0183,qwen2-vl-7b,chinese,zh,Yi,715,621,0.3140096618357488,0.13541666666666666,13,0.0,0,4,0,0.0,
Li_0211,qwen2-vl-7b,chinese,zh,Li,825,715,0.32867132867132864,0.1875,18,0.0,0,4,0,0.0,
Yi_0229,qwen2-vl-7b,chinese,zh,Yi,411,367,0.49318801089918257,0.13541666666666666,13,0.0,0,4,0,0.0,
Li_0219,qwen2-vl-7b,chinese,zh,Li,587,501,0.4111776447105788,0.17708333333333334,17,0.0,0,4,0,0.0,
Li_0317,qwen2-vl-7b,chinese,zh,Li,670,574,0.3780487804878049,0.17708333333333334,17,0.0,0,4,0,0.0,
Dong_0138,qwen2-vl-7b,chinese,zh,Dong,718,622,0.37942122186495175,0.13541666666666666,13,0.0,0,4,0,0.0,
Dong_0064,qwen2-vl-7b,chinese,zh,Dong,747,643,0.31259720062208396,0.15625,15,0.0,0,4,0,0.0,
Tibetan_0025,qwen2-vl-7b,chinese,zh,Tibetan,693,593,0.37099494097807756,0.15625,15,0.0,0,8,0,0.0,
Miao_0454,qwen2-vl-7b,chinese,zh,Miao,742,629,0.29252782193958665,0.14583333333333334,14,0.0,0,4,0,0.0,
Miao_0102,qwen2-vl-7b,chinese,zh,Miao,723,630,0.3238095238095238,0.15625,15,0.0,0,4,0,0.0,
Dong_0588,qwen2-vl-7b,chinese,zh,Dong,721,625,0.3088,0.19791666666666666,19,0.0,0,4,0,0.0,
Tibetan_0589,qwen2-vl-7b,chinese,zh,Tibetan,784,672,0.30654761904761907,0.1875,18,0.0,0,8,0,0.0,
Yi_0196,qwen2-vl-7b,chinese,zh,Yi,683,585,0.335042735042735,0.13541666666666666,13,0.0,0,4,0,0.0,
Li_0077,qwen2-vl-7b,chinese,zh,Li,593,504,0.41865079365079366,0.14583333333333334,14,0.0,0,4,0,0.0,
Miao_0313,qwen2-vl-7b,chinese,zh,Miao,564,470,0.3723404255319149,0.11458333333333333,11,0.0,0,4,0,0.0,
Yi_0571,qwen2-vl-7b,chinese,zh,Yi,544,492,0.43089430894308944,0.13541666666666666,13,0.0,0,4,0,0.0,
Li_0547,qwen2-vl-7b,chinese,zh,Li,517,460,0.4652173913043478,0.17708333333333334,17,0.0,0,4,0,0.0,
Tibetan_0040,qwen2-vl-7b,chinese,zh,Tibetan,607,522,0.367816091954023,0.17708333333333334,17,0.0,0,8,0,0.0,
Miao_0301,qwen2-vl-7b,chinese,zh,Miao,467,418,0.423444976076555,0.14583333333333334,14,0.0,0,4,0,0.0,
Yi_0589,qwen2-vl-7b,chinese,zh,Yi,506,445,0.46741573033707867,0.13541666666666666,13,0.0,0,4,0,0.0,
Tibetan_0571,qwen2-vl-7b,chinese,zh,Tibetan,414,376,0.4574468085106383,0.14583333333333334,14,0.0,0,8,0,0.0,
Miao_0166,qwen2-vl-7b,chinese,zh,Miao,642,549,0.3806921675774135,0.19791666666666666,19,0.0,0,4,0,0.0,
