ethnic_group,bytes_en,images_en,views_60d_en,bytes_zh,images_zh,views_60d_zh,mean_accuracy,mean_acc_en,mean_acc_zh
Miao,365745,35,32113,619514,90,10128,0.8241666666666667,0.9306666666666666,0.7176666666666667
Dong,186645,0,1107,328613,17,2894,0.13599999999999998,0.06033333333333333,0.21166666666666661
Yi,369101,45,29849,456327,39,19119,0.16066666666666665,0.10599999999999996,0.21533333333333332
Li,185161,0,2113,219323,13,2412,0.020833333333333308,0.013666666666666641,0.02799999999999998
Tibetan,396674,0,14735,522306,49,7458,0.6403333333333333,0.602,0.6786666666666666
